timeOpen,open,high,low,close,volume,marketCap,Crypt
"Wednesday, September 3, 2025",209.48,212.82,207.58,210.75,6966454259.42,114021502205.06,SOL
"Tuesday, September 2, 2025",197.11,209.48,197.09,209.48,8625200487.72,113338103903.44,SOL
"Monday, September 1, 2025",200.86,204.22,194.38,197.11,7253329837.86,106619603315.64,SOL
"Sunday, August 31, 2025",202.86,206.51,200.66,200.86,5028997405.57,108649404169.80,SOL
"Saturday, August 30, 2025",205.21,206.80,197.89,202.86,5828701739.38,109703824689.70,SOL
"Friday, August 29, 2025",214.40,217.84,200.44,205.22,14055051454.80,110978980604.49,SOL
"Thursday, August 28, 2025",202.93,216.09,202.01,214.41,12079041801.07,115920934001.44,SOL
"Wednesday, August 27, 2025",195.91,211.86,194.06,202.92,12883119558.62,109716607866.56,SOL
"Tuesday, August 26, 2025",187.27,197.85,186.17,195.91,8032115173.04,105897207574.73,SOL
"Monday, August 25, 2025",205.86,213.01,186.03,187.28,13048248034.24,101229884828.89,SOL
"Sunday, August 24, 2025",203.94,211.76,201.71,205.85,11456987571.35,111252043176.59,SOL
"Saturday, August 23, 2025",200.65,207.84,195.37,203.94,7845395369.40,110214480805.51,SOL
"Friday, August 22, 2025",180.28,201.94,177.47,200.65,10256417345.53,108411290954.95,SOL
"Thursday, August 21, 2025",187.59,189.40,179.71,180.28,5379108038.99,97407333214.71,SOL
"Wednesday, August 20, 2025",176.11,187.69,176.10,187.59,6283111573.97,101332655114.42,SOL
"Tuesday, August 19, 2025",183.07,185.78,175.99,176.11,5990636024.63,95135659504.56,SOL
"Monday, August 18, 2025",191.16,191.35,180.41,183.07,6328028843.53,98870392716.37,SOL
"Sunday, August 17, 2025",189.77,195.44,187.72,191.16,4221788170.77,103242463861.96,SOL
"Saturday, August 16, 2025",185.74,189.98,185.46,189.77,3716008731.74,102460134546.79,SOL
"Friday, August 15, 2025",192.59,198.14,183.76,185.74,7685764514.61,100284564708.42,SOL
"Thursday, August 14, 2025",201.59,209.67,187.78,192.59,14664456934.27,103932862499.73,SOL
"Wednesday, August 13, 2025",191.86,204.47,191.50,201.59,11831412256.73,108789288375.00,SOL
"Tuesday, August 12, 2025",174.98,193.44,173.84,191.86,8611505118.06,103538328473.71,SOL
"Monday, August 11, 2025",182.90,186.66,173.69,174.98,7353962793.82,94429753676.72,SOL
"Sunday, August 10, 2025",180.18,185.92,178.00,182.90,6719478867.22,98649081552.90,SOL
"Saturday, August 9, 2025",176.76,183.14,176.76,180.18,5297615193.29,97182473136.91,SOL
"Friday, August 8, 2025",175.49,179.36,173.70,176.76,6565011386.39,95320314858.14,SOL
"Thursday, August 7, 2025",168.18,175.49,166.89,175.49,5177005321.14,94609865207.46,SOL
"Wednesday, August 6, 2025",164.10,169.86,161.40,168.18,3851544154.38,90568106151.30,SOL
"Tuesday, August 5, 2025",169.43,171.56,161.64,164.10,4979304041.13,88352547555.99,SOL
"Monday, August 4, 2025",161.96,169.71,161.44,169.43,4977909460.03,91222097753.35,SOL
"Sunday, August 3, 2025",158.48,162.82,156.87,161.95,3702562221.69,87202970679.79,SOL
"Saturday, August 2, 2025",162.88,165.11,156.08,158.48,4455060056.36,85309857971.73,SOL
"Friday, August 1, 2025",172.42,172.42,159.79,162.88,8200357156.78,87654931683.25,SOL
"Thursday, July 31, 2025",177.69,182.48,171.85,172.42,5443530167.03,92789136214.98,SOL
"Wednesday, July 30, 2025",181.34,182.38,172.34,177.69,6074764559.08,95607024259.96,SOL
"Tuesday, July 29, 2025",182.56,186.49,178.57,181.34,5430304723.19,97566483835.59,SOL
"Monday, July 28, 2025",188.73,194.66,182.37,182.54,7456216270.23,98202204848.44,SOL
"Sunday, July 27, 2025",184.91,190.44,184.74,188.73,4713357651.64,101523286747.89,SOL
"Saturday, July 26, 2025",186.78,189.65,184.53,184.91,3756183775.91,99539345297.09,SOL
"Friday, July 25, 2025",182.60,186.79,176.41,186.78,8613557362.08,100545038742.08,SOL
"Thursday, July 24, 2025",189.54,191.88,179.95,182.61,8921891799.15,98276198748.15,SOL
"Wednesday, July 23, 2025",205.71,205.76,184.33,189.54,10671351702.15,102003908876.60,SOL
"Tuesday, July 22, 2025",195.99,205.87,194.28,205.70,14508715185.23,110681987570.55,SOL
"Monday, July 21, 2025",181.55,198.92,178.56,195.99,11211509986.24,105450529543.69,SOL
"Sunday, July 20, 2025",177.07,183.32,176.53,181.55,6503778373.87,97657436012.30,SOL
"Saturday, July 19, 2025",177.38,178.37,174.31,177.07,4074891431.96,95250474460.51,SOL
"Friday, July 18, 2025",175.79,184.37,173.91,177.38,8439352013.99,95396442813.82,SOL
"Thursday, July 17, 2025",173.71,178.07,169.03,175.79,7913250794.13,94541498402.59,SOL
"Wednesday, July 16, 2025",163.95,175.84,161.69,173.71,8415349749.89,93402355600.09,SOL
"Tuesday, July 15, 2025",162.28,164.12,157.60,163.95,6533486767.58,87922563501.97,SOL
"Monday, July 14, 2025",161.19,168.34,160.78,162.28,7130680772.78,87004958403.10,SOL
"Sunday, July 13, 2025",160.68,163.96,159.92,161.19,3865898680.11,86425057956.73,SOL
"Saturday, July 12, 2025",162.88,163.85,158.00,160.68,3795297693.60,86132050558.85,SOL
"Friday, July 11, 2025",164.06,167.92,160.07,162.88,7095844188.37,87310679965.29,SOL
"Thursday, July 10, 2025",157.28,165.08,156.05,164.06,5703252462.90,87891524215.21,SOL
"Wednesday, July 9, 2025",151.81,157.88,150.70,157.28,4759358090.42,84258845137.41,SOL
"Tuesday, July 8, 2025",148.87,152.80,147.95,151.81,3885408944.07,81305568370.74,SOL
"Monday, July 7, 2025",151.87,153.28,147.79,148.87,3661294298.24,79731952873.49,SOL
"Sunday, July 6, 2025",147.64,153.39,146.90,151.87,2921512525.94,81229781961.55,SOL
